,age,education,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,income
101,2,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
102,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,>50K
103,3,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,>50K
104,2,Prof-school,Married-civ-spouse,Exec-managerial,Wife,Female,0,1,2,>50K
105,1,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
106,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
107,3,Some-college,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
108,3,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Female,0,1,0,>50K
109,2,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
110,2,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
111,3,Bachelors,Widowed,Exec-managerial,Not-in-family,Male,0,1,1,>50K
112,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
113,3,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,>50K
114,3,Doctorate,Married-civ-spouse,,Husband,Male,0,1,0,>50K
115,2,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
116,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,>50K
117,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
118,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
119,3,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,>50K
120,0,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,0,1,2,<=50K
121,3,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
122,3,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,1,1,>50K
123,1,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,<=50K
124,3,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,>50K
125,0,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,0,1,0,<=50K
126,1,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,<=50K
127,0,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,1,1,<=50K
128,3,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,>50K
129,3,Doctorate,Married-civ-spouse,Sales,Husband,Male,0,1,0,>50K
130,3,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
131,3,Some-college,Married-civ-spouse,Sales,Husband,Male,0,1,2,>50K
132,3,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
133,3,Bachelors,Married-civ-spouse,,Husband,Male,0,1,1,>50K
134,3,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,1,1,<=50K
135,2,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,0,1,2,<=50K
136,3,Bachelors,Married-civ-spouse,,Husband,Male,0,1,0,>50K
137,0,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,<=50K
138,1,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
139,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
140,3,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,2,<=50K
141,3,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,2,<=50K
142,2,5th-6th,Divorced,Craft-repair,Not-in-family,Female,0,1,2,<=50K
143,0,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,0,1,2,<=50K
144,3,HS-grad,Widowed,Farming-fishing,Unmarried,Male,0,1,1,<=50K
145,3,5th-6th,Never-married,Handlers-cleaners,Not-in-family,Male,0,1,1,<=50K
146,3,Bachelors,Divorced,Prof-specialty,Not-in-family,Female,0,1,1,<=50K
147,3,Some-college,Divorced,Exec-managerial,Not-in-family,Male,0,1,2,<=50K
148,1,Bachelors,Married-spouse-absent,Machine-op-inspct,Not-in-family,Male,0,1,1,<=50K
149,0,Bachelors,Never-married,Prof-specialty,Own-child,Female,0,1,0,<=50K
150,3,Some-college,Never-married,Adm-clerical,Not-in-family,Female,0,1,2,<=50K
151,3,HS-grad,Separated,Protective-serv,Other-relative,Female,0,1,1,<=50K
152,0,Some-college,Separated,Exec-managerial,Own-child,Male,0,1,1,<=50K
153,2,Assoc-voc,Widowed,,Not-in-family,Female,0,1,0,<=50K
154,3,Masters,Divorced,Sales,Unmarried,Female,0,1,2,<=50K
155,2,HS-grad,Divorced,Craft-repair,Not-in-family,Male,0,1,1,<=50K
156,2,HS-grad,Never-married,Adm-clerical,Other-relative,Female,0,1,1,<=50K
157,0,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,0,1,1,<=50K
158,2,Prof-school,Divorced,Other-service,Not-in-family,Female,0,1,0,<=50K
159,3,Bachelors,Widowed,Prof-specialty,Not-in-family,Male,0,1,1,>50K
160,3,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
161,3,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1,1,<=50K
162,3,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,0,1,1,<=50K
163,3,HS-grad,Never-married,Adm-clerical,Not-in-family,Male,0,1,1,<=50K
164,0,Some-college,Never-married,Farming-fishing,Own-child,Male,0,1,0,<=50K
165,1,HS-grad,Divorced,Craft-repair,Not-in-family,Male,0,1,2,<=50K
166,1,Some-college,Never-married,Sales,Other-relative,Male,0,1,1,<=50K
167,2,Bachelors,Never-married,Tech-support,Not-in-family,Female,0,1,2,<=50K
168,2,Some-college,Separated,Machine-op-inspct,Not-in-family,Male,0,1,2,>50K
169,2,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Male,0,1,0,>50K
170,1,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,0,1,2,>50K
171,3,Bachelors,Never-married,Adm-clerical,Not-in-family,Male,0,1,1,<=50K
172,2,HS-grad,Never-married,Craft-repair,Own-child,Male,0,1,2,>50K
173,2,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,0,1,1,>50K
174,0,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,0,1,2,>50K
175,0,HS-grad,Never-married,Craft-repair,Not-in-family,Male,0,1,2,<=50K
176,0,Bachelors,Never-married,Prof-specialty,Own-child,Female,0,1,1,>50K
177,1,Masters,Never-married,Prof-specialty,Not-in-family,Male,0,1,2,<=50K
178,1,12th,Divorced,Craft-repair,Not-in-family,Male,0,1,2,<=50K
179,2,Masters,Never-married,Prof-specialty,Not-in-family,Female,0,1,2,<=50K
180,3,Some-college,Widowed,Adm-clerical,Unmarried,Female,0,1,0,>50K
181,1,HS-grad,Never-married,Exec-managerial,Not-in-family,Male,0,1,2,<=50K
182,2,Bachelors,Divorced,Tech-support,Not-in-family,Male,0,1,1,>50K
183,3,Doctorate,Never-married,Exec-managerial,Not-in-family,Female,0,1,2,>50K
184,2,Some-college,Never-married,Sales,Not-in-family,Male,0,1,2,<=50K
185,3,Some-college,Widowed,Farming-fishing,Not-in-family,Male,0,1,2,>50K
186,2,HS-grad,Divorced,Farming-fishing,Not-in-family,Male,0,1,2,>50K
187,2,HS-grad,Divorced,Exec-managerial,Not-in-family,Female,0,1,1,>50K
188,1,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,>50K
189,3,HS-grad,Married-civ-spouse,Prof-specialty,Other-relative,Female,0,1,1,>50K
190,3,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,>50K
191,3,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,>50K
192,3,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,1,>50K
193,3,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,>50K
194,1,HS-grad,Separated,Machine-op-inspct,Unmarried,Female,0,1,1,<=50K
195,0,10th,Widowed,Adm-clerical,Unmarried,Female,0,1,0,<=50K
196,0,Bachelors,Never-married,Adm-clerical,Own-child,Male,0,1,1,>50K
197,3,9th,Widowed,Handlers-cleaners,Unmarried,Male,0,1,1,>50K
198,0,Some-college,Never-married,Protective-serv,Not-in-family,Male,0,1,1,>50K
199,3,HS-grad,Never-married,Other-service,Not-in-family,Male,0,1,1,<=50K
200,3,HS-grad,Widowed,Adm-clerical,Not-in-family,Female,0,1,0,<=50K
201,3,HS-grad,Divorced,Adm-clerical,Unmarried,Female,0,1,2,<=50K
202,3,HS-grad,Widowed,,Unmarried,Female,0,1,0,<=50K
203,3,Bachelors,Divorced,Exec-managerial,Not-in-family,Female,0,1,0,<=50K
204,3,Bachelors,Widowed,Prof-specialty,Not-in-family,Female,0,1,0,<=50K
205,0,Some-college,Never-married,Adm-clerical,Not-in-family,Male,0,1,0,<=50K
206,2,Some-college,Divorced,Machine-op-inspct,Not-in-family,Male,0,1,0,<=50K
207,1,Some-college,Never-married,Adm-clerical,Own-child,Female,0,1,1,<=50K
208,0,Assoc-acdm,Never-married,Other-service,Own-child,Female,0,1,0,<=50K
209,2,HS-grad,Divorced,Craft-repair,Not-in-family,Male,0,1,1,<=50K
210,2,Some-college,Never-married,Other-service,Own-child,Female,0,1,1,<=50K
211,1,Some-college,Never-married,Machine-op-inspct,Other-relative,Female,0,1,1,<=50K
212,2,7th-8th,Never-married,Handlers-cleaners,Not-in-family,Male,0,1,1,<=50K
213,3,HS-grad,Divorced,,Not-in-family,Female,0,1,1,<=50K
214,2,Masters,Divorced,Exec-managerial,Unmarried,Male,0,1,2,>50K
215,3,11th,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
216,0,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1,1,<=50K
217,2,Assoc-voc,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
218,2,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
219,3,1st-4th,Married-civ-spouse,Transport-moving,Husband,Male,0,1,0,<=50K
220,3,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,<=50K
221,1,HS-grad,Married-civ-spouse,Farming-fishing,Wife,Female,0,1,0,<=50K
222,2,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,2,<=50K
223,1,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,1,1,<=50K
224,2,10th,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
225,2,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1,1,<=50K
226,2,5th-6th,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
227,3,Bachelors,Married-civ-spouse,,Husband,Male,0,1,2,<=50K
228,2,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1,1,<=50K
229,1,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
230,3,Bachelors,Married-civ-spouse,,Husband,Male,0,1,1,>50K
231,3,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,0,>50K
232,3,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1,1,>50K
233,3,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
234,3,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,1,1,>50K
235,3,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,>50K
236,3,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,>50K
237,3,Bachelors,Married-civ-spouse,,Husband,Male,0,1,0,<=50K
238,3,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,1,<=50K
239,3,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,1,0,<=50K
240,2,5th-6th,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,1,2,<=50K
241,0,11th,Married-civ-spouse,Craft-repair,Own-child,Male,0,1,2,<=50K
242,1,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
243,2,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Male,0,1,1,<=50K
244,3,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,<=50K
245,1,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
246,3,Some-college,Married-civ-spouse,Prof-specialty,Wife,Female,0,1,2,<=50K
247,1,11th,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
248,1,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,0,1,0,<=50K
249,1,Some-college,Married-civ-spouse,Adm-clerical,Wife,Female,0,1,1,<=50K
250,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,2,<=50K
251,1,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,1,2,<=50K
252,0,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,1,1,<=50K
253,3,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,2,<=50K
254,3,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
255,3,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,0,<=50K
256,1,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,0,1,1,<=50K
257,2,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
258,1,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
259,1,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,1,<=50K
260,1,Some-college,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
261,3,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1,0,<=50K
262,3,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
263,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,2,<=50K
264,2,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1,1,<=50K
265,1,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Male,0,1,1,<=50K
266,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
267,1,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,2,<=50K
268,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
269,2,10th,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
270,3,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,<=50K
271,2,11th,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
272,1,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1,1,<=50K
273,2,Some-college,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
274,2,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1,1,<=50K
275,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,2,<=50K
276,1,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,0,1,0,<=50K
277,1,7th-8th,Married-civ-spouse,Farming-fishing,Husband,Male,0,1,1,<=50K
278,1,11th,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,<=50K
279,3,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,0,1,0,<=50K
280,3,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
281,3,HS-grad,Married-civ-spouse,Other-service,Husband,Male,0,1,2,<=50K
282,3,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1,1,<=50K
283,2,11th,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
284,1,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,1,<=50K
285,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
286,1,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,2,<=50K
287,0,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,Male,0,1,1,<=50K
288,0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Male,0,1,1,<=50K
289,3,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,2,<=50K
290,2,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,0,<=50K
291,0,Bachelors,Married-civ-spouse,,Husband,Male,0,1,1,<=50K
292,2,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,2,<=50K
293,1,HS-grad,Married-civ-spouse,Craft-repair,Own-child,Female,0,1,1,<=50K
294,2,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
295,1,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Male,0,1,1,<=50K
296,1,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
297,1,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,1,1,<=50K
298,3,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,1,1,<=50K
299,3,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,1,2,<=50K
300,2,Doctorate,Married-civ-spouse,Transport-moving,Husband,Male,0,1,2,<=50K
301,0,HS-grad,Never-married,,Unmarried,Male,0,1,1,<=50K
302,1,HS-grad,Never-married,Adm-clerical,Unmarried,Male,0,1,2,<=50K
303,0,HS-grad,Never-married,Other-service,Unmarried,Male,0,1,1,<=50K
304,2,Masters,Divorced,Adm-clerical,Not-in-family,Male,0,1,2,<=50K
305,1,11th,Never-married,Craft-repair,Not-in-family,Male,0,1,1,<=50K
306,1,Bachelors,Never-married,Handlers-cleaners,Not-in-family,Male,0,1,1,<=50K
307,0,Assoc-acdm,Never-married,Tech-support,Not-in-family,Female,0,1,0,<=50K
308,0,HS-grad,Never-married,Other-service,Not-in-family,Male,0,1,1,<=50K
309,0,HS-grad,Never-married,Adm-clerical,Own-child,Male,0,1,1,<=50K
310,3,HS-grad,Separated,,Not-in-family,Female,0,1,1,<=50K
311,2,Some-college,Divorced,Craft-repair,Not-in-family,Male,0,1,2,<=50K
312,3,HS-grad,Widowed,Craft-repair,Not-in-family,Male,0,1,0,<=50K
313,0,HS-grad,Never-married,Craft-repair,Not-in-family,Male,0,1,2,<=50K
314,0,Some-college,Never-married,Adm-clerical,Own-child,Female,0,1,1,<=50K
315,0,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,0,1,0,<=50K
316,3,Bachelors,Never-married,Transport-moving,Not-in-family,Male,0,1,2,<=50K
317,0,Some-college,Never-married,Other-service,Not-in-family,Female,0,1,1,<=50K
318,1,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,0,1,1,<=50K
319,0,HS-grad,Never-married,Adm-clerical,Own-child,Male,0,1,1,<=50K
320,0,Some-college,Never-married,,Not-in-family,Male,0,1,2,<=50K
321,2,HS-grad,Separated,Adm-clerical,Not-in-family,Female,0,1,1,<=50K
